"lateralorbitofrontal_1"
"lateralorbitofrontal_2"
"lateralorbitofrontal_3"
"lateralorbitofrontal_4"
"lateralorbitofrontal_5"
"lateralorbitofrontal_6"
"lateralorbitofrontal_7"
"parsorbitalis_1"
"parsorbitalis_2"
"frontalpole_1"
"medialorbitofrontal_1"
"medialorbitofrontal_2"
"medialorbitofrontal_3"
"medialorbitofrontal_4"
"medialorbitofrontal_5"
"parstriangularis_1"
"parstriangularis_2"
"parstriangularis_3"
"parsopercularis_1"
"parsopercularis_2"
"parsopercularis_3"
"parsopercularis_4"
"rostralmiddlefrontal_1"
"rostralmiddlefrontal_2"
"rostralmiddlefrontal_3"
"rostralmiddlefrontal_4"
"rostralmiddlefrontal_5"
"rostralmiddlefrontal_6"
"rostralmiddlefrontal_7"
"rostralmiddlefrontal_8"
"rostralmiddlefrontal_9"
"rostralmiddlefrontal_10"
"rostralmiddlefrontal_11"
"rostralmiddlefrontal_12"
"superiorfrontal_1"
"superiorfrontal_2"
"superiorfrontal_3"
"superiorfrontal_4"
"superiorfrontal_5"
"superiorfrontal_6"
"superiorfrontal_7"
"superiorfrontal_8"
"superiorfrontal_9"
"superiorfrontal_10"
"superiorfrontal_11"
"superiorfrontal_12"
"superiorfrontal_13"
"superiorfrontal_14"
"superiorfrontal_15"
"superiorfrontal_16"
"superiorfrontal_17"
"superiorfrontal_18"
"caudalmiddlefrontal_1"
"caudalmiddlefrontal_2"
"caudalmiddlefrontal_3"
"caudalmiddlefrontal_4"
"caudalmiddlefrontal_5"
"caudalmiddlefrontal_6"
"precentral_1"
"precentral_2"
"precentral_3"
"precentral_4"
"precentral_5"
"precentral_6"
"precentral_7"
"precentral_8"
"precentral_9"
"precentral_10"
"precentral_11"
"precentral_12"
"precentral_13"
"precentral_14"
"precentral_15"
"precentral_16"
"paracentral_1"
"paracentral_2"
"paracentral_3"
"paracentral_4"
"paracentral_5"
"rostralanteriorcingulate_1"
"rostralanteriorcingulate_2"
"caudalanteriorcingulate_1"
"caudalanteriorcingulate_2"
"posteriorcingulate_1"
"posteriorcingulate_2"
"posteriorcingulate_3"
"posteriorcingulate_4"
"isthmuscingulate_1"
"isthmuscingulate_2"
"isthmuscingulate_3"
"postcentral_1"
"postcentral_2"
"postcentral_3"
"postcentral_4"
"postcentral_5"
"postcentral_6"
"postcentral_7"
"postcentral_8"
"postcentral_9"
"postcentral_10"
"postcentral_11"
"postcentral_12"
"postcentral_13"
"postcentral_14"
"supramarginal_1"
"supramarginal_2"
"supramarginal_3"
"supramarginal_4"
"supramarginal_5"
"supramarginal_6"
"supramarginal_7"
"supramarginal_8"
"supramarginal_9"
"supramarginal_10"
"superiorparietal_1"
"superiorparietal_2"
"superiorparietal_3"
"superiorparietal_4"
"superiorparietal_5"
"superiorparietal_6"
"superiorparietal_7"
"superiorparietal_8"
"superiorparietal_9"
"superiorparietal_10"
"superiorparietal_11"
"superiorparietal_12"
"superiorparietal_13"
"superiorparietal_14"
"inferiorparietal_1"
"inferiorparietal_2"
"inferiorparietal_3"
"inferiorparietal_4"
"inferiorparietal_5"
"inferiorparietal_6"
"inferiorparietal_7"
"inferiorparietal_8"
"inferiorparietal_9"
"inferiorparietal_10"
"precuneus_1"
"precuneus_2"
"precuneus_3"
"precuneus_4"
"precuneus_5"
"precuneus_6"
"precuneus_7"
"precuneus_8"
"precuneus_9"
"precuneus_10"
"precuneus_11"
"cuneus_1"
"cuneus_2"
"cuneus_3"
"pericalcarine_1"
"pericalcarine_2"
"pericalcarine_3"
"lateraloccipital_1"
"lateraloccipital_2"
"lateraloccipital_3"
"lateraloccipital_4"
"lateraloccipital_5"
"lateraloccipital_6"
"lateraloccipital_7"
"lateraloccipital_8"
"lateraloccipital_9"
"lateraloccipital_10"
"lateraloccipital_11"
"lingual_1"
"lingual_2"
"lingual_3"
"lingual_4"
"lingual_5"
"lingual_6"
"lingual_7"
"lingual_8"
"fusiform_1"
"fusiform_2"
"fusiform_3"
"fusiform_4"
"fusiform_5"
"fusiform_6"
"fusiform_7"
"fusiform_8"
"parahippocampal_1"
"parahippocampal_2"
"parahippocampal_3"
"entorhinal_1"
"temporalpole_1"
"inferiortemporal_1"
"inferiortemporal_2"
"inferiortemporal_3"
"inferiortemporal_4"
"inferiortemporal_5"
"inferiortemporal_6"
"inferiortemporal_7"
"inferiortemporal_8"
"middletemporal_1"
"middletemporal_2"
"middletemporal_3"
"middletemporal_4"
"middletemporal_5"
"middletemporal_6"
"middletemporal_7"
"bankssts_1"
"bankssts_2"
"bankssts_3"
"superiortemporal_1"
"superiortemporal_2"
"superiortemporal_3"
"superiortemporal_4"
"superiortemporal_5"
"superiortemporal_6"
"superiortemporal_7"
"superiortemporal_8"
"superiortemporal_9"
"superiortemporal_10"
"superiortemporal_11"
"transversetemporal_1"
"transversetemporal_2"
"insula_1"
"insula_2"
"insula_3"
"insula_4"
"insula_5"
"insula_6"
"insula_7"
