1,1,1
1,2,2
2,3,3
3,4,4
4,5,5
4,6,6
5,7,7
6,8,8
7,9,9
7,10,10
7,11,11
8,12,12
8,13,13
8,14,14
8,15,15
8,16,16
8,17,17
9,18,18
9,19,19
10,20,20
10,21,21
10,22,22
10,23,23
11,24,24
11,25,25
12,26,26
13,27,27
14,28,28
15,29,29
16,30,30
16,31,31
16,32,32
16,33,33
17,34,34
17,35,35
18,36,36
18,37,37
18,38,38
18,39,39
19,40,40
19,41,41
19,42,42
20,43,43
20,44,44
20,45,45
21,46,46
22,47,47
23,48,48
23,49,49
24,50,50
24,51,51
25,52,52
25,53,53
25,54,54
26,55,55
27,56,56
28,57,57
29,58,58
29,59,59
29,60,60
30,61,61
30,62,62
30,63,63
31,64,64
32,65,65
32,66,66
32,67,67
33,68,68
34,69,69
35,70,70
36,71,71
37,72,72
38,73,73
39,74,74
40,75,75
41,76,76
42,77,1
42,78,2
43,79,3
44,80,4
45,81,5
45,82,6
46,83,7
47,84,8
48,85,9
48,86,10
49,87,11
49,88,12
49,89,13
49,90,14
49,91,15
49,92,16
50,93,17
50,94,18
51,95,19
51,96,20
51,97,21
51,98,22
52,99,23
53,100,24
54,101,25
55,102,26
56,103,27
57,104,28
57,105,29
57,106,30
57,107,31
58,108,32
58,109,33
59,110,34
59,111,35
59,112,36
60,113,37
60,114,38
60,115,39
61,116,40
61,117,41
61,118,42
62,119,43
63,120,44
64,121,45
64,122,46
64,123,47
65,124,48
65,125,49
66,126,50
66,127,51
66,128,52
67,129,53
68,130,54
69,131,55
70,132,56
70,133,57
71,134,58
71,135,59
71,136,60
72,137,61
73,138,62
73,139,63
73,140,64
74,141,65
75,142,66
76,143,67
77,144,68
78,145,69
79,146,70
80,147,71
81,148,72
82,149,73
83,150,74
